Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0402_1005Metric",5.229200,-3.553500,90.000000,top
"C2","0.1uF","C_0402_1005Metric",4.179200,-3.553500,90.000000,top
"C3","0.1uF","C_0402_1005Metric",-2.420800,-1.553500,0.000000,top
"C4","4.7uF","C_0402_1005Metric",-2.420800,-0.403500,0.000000,top
"C5","10n","C_0402_1005Metric",4.329200,4.846500,180.000000,top
"C6","0.1uF","C_0402_1005Metric",3.979200,3.346500,270.000000,top
"C7","4.7uF","C_0402_1005Metric",5.129200,3.346500,270.000000,top
"L1","NCP114AMX330TCG","REG_NCP114AMX330TCG_21",2.879200,-3.238500,0.000000,top
"L2","MOLEX_NFC_COIL_1462360101","COIL2_26",-22.250000,-0.053500,90.000000,top
"R1","4K7","R_0402_1005Metric",-1.470800,-4.503500,270.000000,top
"R2","10K","R_0402_1005Metric",-1.470800,-6.453500,270.000000,top
"R3","4K7","R_0402_1005Metric",-0.270800,-2.288500,270.000000,top
"R4","68R","R_0402_1005Metric",-0.320800,7.211500,180.000000,top
"R5","4K7","R_0402_1005Metric",4.279200,-5.838500,90.000000,top
"R6","1M","R_0402_1005Metric",4.329200,6.496500,180.000000,top
"R7","4K7","R_0402_1005Metric",-3.470800,-3.238500,180.000000,top
"U1","STM32L432KCUx","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",0.079200,3.446500,270.000000,top
"U2","MTCH101","SOT-23-6",1.029200,-5.953500,0.000000,top
"U3","DF5A5.6JE","SOT-553",1.679200,-1.338500,90.000000,top
"U5","AMS3956","MLPD3X3_24",-5.570800,0.961500,90.000000,top
